Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
3.104043758E1,-2.450703735E0,3.773952026E0,-1.205592957E1
3.105048358E1,5.631289673E-1,2.915337524E0,-1.168215683E1
3.106052958E1,-1.874102783E-1,3.722758484E0,-9.111851807E0
3.107057558E1,2.884501648E-1,3.290756836E0,-1.185265228E1
3.108062158E1,6.535409546E-1,1.015937347E0,-1.254930359E1
3.109066758E1,1.009800110E0,1.055455170E0,-1.134296219E1
3.110071358E1,1.641486511E0,2.139051819E0,-1.227507385E1
3.111075958E1,-1.664538574E-1,2.777474213E0,-1.282503021E1
3.112080558E1,1.131197662E0,2.262545013E0,-1.046189438E1
3.113085158E1,1.055904236E0,2.296224976E0,-9.473200378E0
3.114089758E1,1.248703308E0,2.136207733E0,-1.031370255E1
3.115094358E1,1.089284821E0,2.189796295E0,-9.610464935E0
3.116098958E1,2.820135498E-1,1.717229004E0,-1.146825165E1
3.117103558E1,1.389261017E0,1.238823853E0,-1.187705154E1
3.118108258E1,-3.046165466E-1,2.737657013E0,-9.638307037E0
3.119112858E1,7.680528259E-1,2.698139191E0,-1.270063889E1
3.120117458E1,-2.196382599E0,1.934427338E0,-1.349818039E1
3.121122058E1,-1.212179260E0,3.087030487E0,-1.334519852E1
3.122126658E1,2.137554932E-1,3.629502411E0,-1.063358734E1
3.123131258E1,-5.161267090E-1,3.802093506E0,-1.199261124E1
3.124135858E1,-8.666976929E-2,4.702471161E0,-1.211535599E1
3.125140458E1,-1.574725342E-1,3.959715729E0,-1.356913284E1
3.126145058E1,-2.484832764E-1,3.418141937E0,-1.407732605E1
3.127149658E1,9.268725586E-1,4.178710327E0,-1.145971939E1
3.128154258E1,-2.962339783E-1,3.693868561E0,-1.145403122E1
3.129158858E1,-8.807684326E-1,3.470083923E0,-1.289762924E1
3.130163458E1,6.574328613E-1,1.899549866E0,-1.780756897E1
3.131168058E1,1.086291046E0,3.358266449E0,-1.313832870E1
3.132172658E1,-6.007008362E-1,2.830314331E0,-1.233435059E1
3.133177258E1,-3.315605164E0,3.681743774E0,-1.542736862E1
3.134181858E1,5.248236237E0,3.252137146E0,-1.150911667E1
3.135186458E1,5.758525085E-1,2.659070435E0,-1.332948120E1
3.136191058E1,-1.480870514E0,3.764371948E0,-1.543664932E1
3.137195658E1,-7.476951599E-1,5.325625305E0,-1.171613617E1
3.138200258E1,-8.237370300E-1,6.327641602E0,-1.357407257E1
3.139204858E1,-1.216819611E0,6.194718018E0,-1.311886917E1
3.140209458E1,-4.721182251E-1,5.852529602E0,-1.208556793E1
3.141214058E1,2.125280457E0,4.826263733E0,-1.098775085E1
3.142218658E1,-3.365601196E0,5.740712128E0,-1.365400635E1
3.143223258E1,-2.393822021E0,8.421188049E0,-1.286050644E1
3.144227858E1,3.531156921E-1,5.516328735E0,-1.292202850E1
3.145232458E1,-5.689368896E0,4.528383179E0,-1.714205292E1
3.146237058E1,-5.782325592E0,9.801467743E0,-1.353635101E1
3.147241658E1,-9.630972290E-1,6.396648102E0,-1.487396942E1
3.148246258E1,-2.442021790E0,6.224206696E0,-1.402762939E1
3.149250871E1,3.516188049E-1,4.747078400E0,-1.620784561E1
3.150255471E1,-1.990560608E0,4.545298004E0,-1.549532730E1
3.151260071E1,-7.454498291E-1,4.525539093E0,-1.637205414E1
3.152264671E1,2.998564453E0,3.521876221E0,-1.391730881E1
3.153269271E1,-9.458830261E-1,5.432053986E0,-1.422342224E1
3.154273871E1,-2.947370911E0,5.891448669E0,-1.615560425E1
3.155278471E1,-1.050216064E0,3.494333496E0,-1.635992935E1
