"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.511546625E0,9.449548711E-1,1.814553695E-1,-5.548848082E-2,-2.665621056E-1,3.819791312E1,2.187166171E1,-4.658180848E-1,-3.159644070E1
1.521565625E0,9.449458517E-1,1.814268730E-1,-5.531269159E-2,-2.666497711E-1,3.820107176E1,2.186288346E1,-4.457730314E-1,-3.160266151E1
1.531584625E0,9.449448612E-1,1.813782566E-1,-5.515126916E-2,-2.667197980E-1,3.820141861E1,2.185229787E1,-4.283170315E-1,-3.160714619E1
1.541603625E0,9.449580532E-1,1.813024871E-1,-5.499782302E-2,-2.667563394E-1,3.819679868E1,2.183890471E1,-4.133408380E-1,-3.160789227E1
1.551622625E0,9.449868184E-1,1.811791760E-1,-5.485324879E-2,-2.667682037E-1,3.818672302E1,2.182044889E1,-4.013892944E-1,-3.160594342E1
1.561642625E0,9.450231069E-1,1.810219155E-1,-5.472732454E-2,-2.667718705E-1,3.817400854E1,2.179877181E1,-3.927119303E-1,-3.160344858E1
1.571661625E0,9.450670871E-1,1.808436712E-1,-5.461958139E-2,-2.667589946E-1,3.815859359E1,2.177531634E1,-3.870351046E-1,-3.159943226E1
1.581680625E0,9.451148395E-1,1.806568448E-1,-5.451359261E-2,-2.667384691E-1,3.814184972E1,2.175095430E1,-3.819909397E-1,-3.159456527E1
1.591699625E0,9.451482830E-1,1.805196199E-1,-5.441121264E-2,-2.667335168E-1,3.813011889E1,2.173227939E1,-3.754081996E-1,-3.159161688E1
1.601718625E0,9.451722856E-1,1.804221027E-1,-5.429211619E-2,-2.667390170E-1,3.812169745E1,2.171753658E1,-3.655254010E-1,-3.158953286E1
1.611737625E0,9.451801039E-1,1.803805248E-1,-5.419566312E-2,-2.667591000E-1,3.811895400E1,2.170980011E1,-3.559828077E-1,-3.158968570E1
1.621756625E0,9.451649521E-1,1.804134942E-1,-5.413571977E-2,-2.668024902E-1,3.812427065E1,2.171160337E1,-3.474913473E-1,-3.159341305E1
1.631775625E0,9.451363765E-1,1.804823674E-1,-5.412233287E-2,-2.668598099E-1,3.813429567E1,2.171892703E1,-3.425729722E-1,-3.159983437E1
1.641794625E0,9.451124160E-1,1.805373848E-1,-5.411928250E-2,-2.669078784E-1,3.814269965E1,2.172502082E1,-3.394170820E-1,-3.160540204E1
1.651813625E0,9.450984443E-1,1.805349930E-1,-5.409257193E-2,-2.669647555E-1,3.814759930E1,2.172392100E1,-3.353340943E-1,-3.161145107E1
1.661832625E0,9.451016054E-1,1.804483496E-1,-5.404700065E-2,-2.670210216E-1,3.814649083E1,2.171275749E1,-3.319053551E-1,-3.161697177E1
1.671851625E0,9.451215408E-1,1.803018577E-1,-5.397078861E-2,-2.670651493E-1,3.813949940E1,2.169389797E1,-3.273454427E-1,-3.162036884E1
1.681871625E0,9.451561012E-1,1.801127553E-1,-5.385468458E-2,-2.670938935E-1,3.812737602E1,2.166897667E1,-3.201781172E-1,-3.162105437E1
1.691890625E0,9.451935487E-1,1.799188324E-1,-5.370268724E-2,-2.671225323E-1,3.811423570E1,2.164236933E1,-3.092909283E-1,-3.162092111E1
1.701909625E0,9.452244213E-1,1.797621199E-1,-5.355800765E-2,-2.671476307E-1,3.810339924E1,2.162017169E1,-2.980897839E-1,-3.162055500E1
